piece;date;journal;compte;libelle;debit;credit;code_tva;tiers;reference
AC202500244;27/12/2024;AC;614200;Honoraires juridiques;2203,07;;A17;F0022;FA202507-0244
AC202500244;27/12/2024;AC;421611;TVA deductible 17%;374,52;;NA;F0022;FA202507-0244
AC202500244;27/12/2024;AC;441100;PHILIPPE - Honoraires juridiques;;2577,59;NA;F0022;FA202507-0244
AC202500062;01/01/2025;AC;617000;Telecommunications;525,29;;A17;F0016;FA202501-0062
AC202500062;01/01/2025;AC;421611;TVA deductible 17%;89,30;;NA;F0016;FA202501-0062
AC202500062;01/01/2025;AC;441100;LAPORTE MULLER SA - Telecommunications;;614,59;NA;F0016;FA202501-0062
AC202500103;01/01/2025;AC;606000;Achat de marchandises - taux reduit;2330,01;;A8;F0010;FA202501-0103
AC202500103;01/01/2025;AC;421613;TVA deductible 8%;186,40;;NA;F0010;FA202501-0103
AC202500103;01/01/2025;AC;441100;JACQUES S.A. - Achat de marchandises - taux reduit;;2516,41;NA;F0010;FA202501-0103
AN202500001;01/01/2025;AN;221200;Constructions;180000,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;222100;Installations techniques et machines;62000,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;223100;Mobilier et materiel de bureau;18500,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;223200;Materiel informatique;24800,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;223300;Materiel roulant;41000,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;211100;Logiciels et licences;12400,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;221900;Corrections de valeur sur constructions;;43200,00;NA;;AN-2025
AN202500001;01/01/2025;AN;222900;Corrections de valeur sur installations;;28900,00;NA;;AN-2025
AN202500001;01/01/2025;AN;223900;Corrections de valeur sur autres installations;;39600,00;NA;;AN-2025
AN202500001;01/01/2025;AN;211900;Corrections de valeur sur logiciels;;7440,00;NA;;AN-2025
AN202500001;01/01/2025;AN;236000;Depots et cautionnements verses;6000,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;361000;Stocks de marchandises;48750,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;401100;Clients - solde d'ouverture;74300,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;511100;Banque - compte courant principal;52180,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;516000;Caisse;940,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;481000;Charges a reporter;3200,00;;NA;;AN-2025
AN202500001;01/01/2025;AN;441100;Fournisseurs - solde d'ouverture;;58420,00;NA;;AN-2025
AN202500001;01/01/2025;AN;101100;Capital souscrit;;100000,00;NA;;AN-2025
AN202500001;01/01/2025;AN;131000;Reserve legale;;10000,00;NA;;AN-2025
AN202500001;01/01/2025;AN;138000;Autres reserves disponibles;;25000,00;NA;;AN-2025
AN202500001;01/01/2025;AN;192100;Emprunt a moyen et long terme;;96000,00;NA;;AN-2025
AN202500001;01/01/2025;AN;462000;Centre commun de la securite sociale;;9350,00;NA;;AN-2025
AN202500001;01/01/2025;AN;471000;Personnel - remunerations dues;;14100,00;NA;;AN-2025
AN202500001;01/01/2025;AN;461500;TVA due - decompte de decembre;;7830,00;NA;;AN-2025
AN202500001;01/01/2025;AN;141000;Resultats reportes;;84230,00;NA;;AN-2025
VE202500160;01/01/2025;VE;401100;JACQUET SARL - Prestation de services;16458,19;;NA;C0009;FV202501-0160
VE202500160;01/01/2025;VE;704000;Prestation de services;;14066,83;S17;C0009;FV202501-0160
VE202500160;01/01/2025;VE;461411;TVA collectee 17%;;2391,36;NA;C0009;FV202501-0160
VE202500202;01/01/2025;VE;401100;FISCHER - Prestation de services;5369,84;;NA;C0021;FV202501-0202
VE202500202;01/01/2025;VE;704000;Prestation de services;;4589,61;S17;C0021;FV202501-0202
VE202500202;01/01/2025;VE;461411;TVA collectee 17%;;780,23;NA;C0021;FV202501-0202
VE202500076;02/01/2025;VE;401100;HENRY - Prestation de services;2950,26;;NA;C0010;FV202501-0076
VE202500076;02/01/2025;VE;704000;Prestation de services;;2521,59;S17;C0010;FV202501-0076
