compte;libelle;classe;type;sens_normal;rubrique;poste
1;Comptes de capitaux propres, de provisions et de dettes financieres et assimilees;1;R;C;;
10;Capital souscrit ou dotation des succursales et compte de l'exploitant;1;R;C;BILAN_PASSIF;A.I. Capital souscrit
101;Capital souscrit;1;R;C;BILAN_PASSIF;A.I. Capital souscrit
101100;Capital souscrit - actions ou parts ordinaires;1;I;C;BILAN_PASSIF;A.I. Capital souscrit
106;Compte de l'exploitant ou des co-exploitants;1;R;C;BILAN_PASSIF;A.I. Capital souscrit
106100;Compte de l'exploitant;1;I;C;BILAN_PASSIF;A.I. Capital souscrit
11;Primes d'emission et primes assimilees;1;R;C;BILAN_PASSIF;A.II. Primes d'emission
111;Primes d'emission;1;R;C;BILAN_PASSIF;A.II. Primes d'emission
111100;Primes d'emission;1;I;C;BILAN_PASSIF;A.II. Primes d'emission
13;Reserves;1;R;C;BILAN_PASSIF;A.IV. Reserves
131;Reserve legale;1;R;C;BILAN_PASSIF;A.IV. Reserves
131000;Reserve legale;1;I;C;BILAN_PASSIF;A.IV. Reserves
133;Reserves statutaires;1;R;C;BILAN_PASSIF;A.IV. Reserves
133000;Reserves statutaires;1;I;C;BILAN_PASSIF;A.IV. Reserves
138;Autres reserves;1;R;C;BILAN_PASSIF;A.IV. Reserves
138000;Autres reserves disponibles;1;I;C;BILAN_PASSIF;A.IV. Reserves
14;Resultats;1;R;C;BILAN_PASSIF;A.V. Resultats reportes
141;Resultats reportes;1;R;C;BILAN_PASSIF;A.V. Resultats reportes
141000;Resultats reportes;1;I;C;BILAN_PASSIF;A.V. Resultats reportes
142;Resultat de l'exercice;1;R;C;BILAN_PASSIF;A.VI. Resultat de l'exercice
142000;Resultat de l'exercice;1;I;C;BILAN_PASSIF;A.VI. Resultat de l'exercice
18;Provisions;1;R;C;BILAN_PASSIF;B. Provisions
183;Autres provisions;1;R;C;BILAN_PASSIF;B. Provisions
183000;Autres provisions;1;I;C;BILAN_PASSIF;B. Provisions
19;Emprunts obligataires et dettes envers les etablissements de credit;1;R;C;BILAN_PASSIF;C. Dettes envers des etablissements de credit
192;Dettes envers les etablissements de credit;1;R;C;BILAN_PASSIF;C. Dettes envers des etablissements de credit
192100;Emprunts a moyen et long terme;1;I;C;BILAN_PASSIF;C. Dettes envers des etablissements de credit
192200;Concours bancaires courants;1;I;C;BILAN_PASSIF;C. Dettes envers des etablissements de credit
2;Comptes de frais d'etablissement et d'actifs immobilises;2;R;D;;
20;Frais d'etablissement et frais assimiles;2;R;D;BILAN_ACTIF;B. Frais d'etablissement
201;Frais de constitution;2;R;D;BILAN_ACTIF;B. Frais d'etablissement
201000;Frais de constitution;2;I;D;BILAN_ACTIF;B. Frais d'etablissement
21;Immobilisations incorporelles;2;R;D;BILAN_ACTIF;C.I. Immobilisations incorporelles
211;Concessions, brevets, licences, marques et droits similaires;2;R;D;BILAN_ACTIF;C.I. Immobilisations incorporelles
211100;Logiciels et licences informatiques;2;I;D;BILAN_ACTIF;C.I. Immobilisations incorporelles
211900;Corrections de valeur sur concessions, brevets et licences;2;I;C;BILAN_ACTIF;C.I. Immobilisations incorporelles
22;Immobilisations corporelles;2;R;D;BILAN_ACTIF;C.II. Immobilisations corporelles
221;Terrains et constructions;2;R;D;BILAN_ACTIF;C.II. Immobilisations corporelles
221100;Terrains;2;I;D;BILAN_ACTIF;C.II. Immobilisations corporelles
221200;Constructions;2;I;D;BILAN_ACTIF;C.II. Immobilisations corporelles
221900;Corrections de valeur sur terrains et constructions;2;I;C;BILAN_ACTIF;C.II. Immobilisations corporelles
222;Installations techniques et machines;2;R;D;BILAN_ACTIF;C.II. Immobilisations corporelles
222100;Installations techniques et machines;2;I;D;BILAN_ACTIF;C.II. Immobilisations corporelles
222900;Corrections de valeur sur installations techniques et machines;2;I;C;BILAN_ACTIF;C.II. Immobilisations corporelles
223;Autres installations, outillage, mobilier et materiel roulant;2;R;D;BILAN_ACTIF;C.II. Immobilisations corporelles
